,,Count
1914,Gavrilo Princip,1
1914,Young Bosnia Bosnian Serbs liberation movement,1
1914,911,1
1914,the 21st century,1
1914,1,1
1914,Slavic,1
1914,Serbian,1
1914,Russians,1
1914,Serbs,1
1914,Interwoven,1
1914,Europe,1
1914,2,1
1918,the century,1
1918,Sarajevo,1
1918,AustroHungarian Empires,1
1918,Erzherzog Franz Ferdinand,1
1918,Gavrilo Princip,1
1918,Young Bosnia Bosnian Serbs liberation movement,1
1918,911,1
1918,the 21st century,1
1918,1,1
1918,Slavic,1
1918,Serbian,1
1918,Russians,1
1918,Serbs,1
1918,Interwoven,1
1918,Europe,2
1918,2,1
the century,Sarajevo,1
the century,AustroHungarian Empires,1
the century,Erzherzog Franz Ferdinand,1
the century,Gavrilo Princip,1
the century,Young Bosnia Bosnian Serbs liberation movement,1
the century,911,1
the century,the 21st century,1
the century,1,1
the century,Slavic,2
the century,Serbian,1
the century,Russians,1
the century,Serbs,1
the century,Interwoven,1
the century,Europe,1
the century,2,1
AustroHungarian Empires,Erzherzog Franz Ferdinand,1
AustroHungarian Empires,Gavrilo Princip,1
AustroHungarian Empires,Young Bosnia Bosnian Serbs liberation movement,1
AustroHungarian Empires,911,1
AustroHungarian Empires,the 21st century,1
AustroHungarian Empires,1,1
AustroHungarian Empires,Slavic,1
AustroHungarian Empires,Serbian,1
AustroHungarian Empires,Russians,1
AustroHungarian Empires,Serbs,1
AustroHungarian Empires,Interwoven,1
AustroHungarian Empires,Europe,1
AustroHungarian Empires,2,1
Erzherzog Franz Ferdinand,Gavrilo Princip,1
Erzherzog Franz Ferdinand,Young Bosnia Bosnian Serbs liberation movement,1
Erzherzog Franz Ferdinand,911,1
Erzherzog Franz Ferdinand,the 21st century,1
Erzherzog Franz Ferdinand,1,1
Erzherzog Franz Ferdinand,Slavic,1
Erzherzog Franz Ferdinand,Serbian,1
Erzherzog Franz Ferdinand,Russians,1
Erzherzog Franz Ferdinand,Serbs,1
Erzherzog Franz Ferdinand,Interwoven,1
Erzherzog Franz Ferdinand,Europe,1
Erzherzog Franz Ferdinand,2,1
Gavrilo Princip,Young Bosnia Bosnian Serbs liberation movement,1
Gavrilo Princip,911,1
Gavrilo Princip,the 21st century,1
Gavrilo Princip,1,1
Gavrilo Princip,Slavic,1
Gavrilo Princip,Serbian,1
Gavrilo Princip,Russians,1
Gavrilo Princip,Serbs,1
Gavrilo Princip,Interwoven,1
Gavrilo Princip,Europe,1
Gavrilo Princip,2,1
Young Bosnia Bosnian Serbs liberation movement,911,1
Young Bosnia Bosnian Serbs liberation movement,the 21st century,1
Young Bosnia Bosnian Serbs liberation movement,1,1
Young Bosnia Bosnian Serbs liberation movement,Slavic,1
Young Bosnia Bosnian Serbs liberation movement,Serbian,1
Young Bosnia Bosnian Serbs liberation movement,Russians,1
Young Bosnia Bosnian Serbs liberation movement,Serbs,1
Young Bosnia Bosnian Serbs liberation movement,Interwoven,1
Young Bosnia Bosnian Serbs liberation movement,Europe,1
Young Bosnia Bosnian Serbs liberation movement,2,1
911,the 21st century,1
911,1,1
911,Slavic,1
911,Serbian,1
911,Russians,1
911,Serbs,1
911,Interwoven,1
911,Europe,1
911,2,1
the 21st century,1,1
the 21st century,Slavic,1
the 21st century,Serbian,1
the 21st century,Russians,1
the 21st century,Serbs,1
the 21st century,Interwoven,1
the 21st century,Europe,1
the 21st century,2,1
1,Slavic,1
1,Serbian,1
1,Russians,1
1,Serbs,1
1,Interwoven,1
1,Europe,1
1,2,1
Slavic,Serbian,1
Slavic,Russians,1
Slavic,Serbs,1
Slavic,Interwoven,1
Slavic,Europe,1
Slavic,2,1
Serbian,Russians,1
Serbian,Serbs,1
Serbian,Interwoven,1
Serbian,Europe,1
Serbian,2,1
Russians,Serbs,1
Russians,Interwoven,1
Russians,Europe,1
Russians,2,1
Serbs,Interwoven,1
Serbs,Europe,1
Serbs,2,1
Interwoven,Europe,1
Interwoven,2,1
Europe,2,1
The Triple Entente,the British Empire,1
The Triple Entente,Italy,1
The Triple Entente,Russia,1
The Triple Entente,Germany,1
The Triple Entente,Bulgaria,1
The Triple Entente,the Ottoman Empire,1
The Triple Entente,34,1
the British Empire,Italy,1
the British Empire,Russia,1
the British Empire,Germany,1
the British Empire,Bulgaria,1
the British Empire,the Ottoman Empire,1
the British Empire,34,1
Italy,Russia,1
Italy,Germany,5
Italy,Bulgaria,1
Italy,the Ottoman Empire,1
Italy,34,1
Russia,Germany,4
Russia,Bulgaria,1
Russia,the Ottoman Empire,1
Russia,34,1
Germany,Bulgaria,1
Germany,the Ottoman Empire,2
Germany,34,1
Bulgaria,the Ottoman Empire,1
Bulgaria,34,1
the Ottoman Empire,34,1
1917,Russia,2
1917,the Central Powers,1
1917,the Treaty of BrestLitovsk,1
1917,Germany,1
Russia,the Central Powers,1
Russia,the Treaty of BrestLitovsk,1
Russia,Russia,1
the Central Powers,the Treaty of BrestLitovsk,1
the Central Powers,Germany,1
the Central Powers,Russia,1
the Treaty of BrestLitovsk,Germany,1
the Treaty of BrestLitovsk,Russia,1
Germany,Russia,2
Bolshevik Russia,Baltic,1
Bolshevik Russia,Germany,1
Bolshevik Russia,Kars Oblast,1
Bolshevik Russia,the Ottoman Empire,1
Bolshevik Russia,Ukraine,1
Baltic,Germany,2
Baltic,Kars Oblast,1
Baltic,the Ottoman Empire,1
Baltic,Ukraine,1
Germany,Kars Oblast,1
Germany,Ukraine,1
Kars Oblast,the Ottoman Empire,1
Kars Oblast,Ukraine,1
the Ottoman Empire,Ukraine,1
Although,Germany,1
Although,Allied,1
Although,American,1
Although,1918,1
Although,6,1
Although,Germans,1
Although,gun7,1
Although,9,1
Germany,Allied,4
Germany,American,3
Germany,1918,1
Germany,6,1
Germany,Germans,16
Germany,gun7,1
Germany,9,1
Allied,American,1
Allied,1918,1
Allied,6,1
Allied,Germans,5
Allied,gun7,1
Allied,9,1
American,1918,1
American,6,1
American,Germans,3
American,gun7,1
American,9,1
1918,6,1
1918,Germans,3
1918,gun7,1
1918,9,1
6,Germans,1
6,gun7,1
6,9,1
Germans,gun7,1
Germans,9,1
gun7,9,1
British,10,1
British,11,1
British,Division of AustriaHungary,1
British,World War I,1
10,11,1
10,Division of AustriaHungary,1
10,World War I,1
11,Division of AustriaHungary,1
11,World War I,1
Division of AustriaHungary,World War I,1
1918,the next twenty years,1
1918,First,1
1918,the Treaty of Versailles,1
1918,"the War
Many",1
1918,12,1
1918,Germany,1
1918,Allied,1
1918,Kaiser Wilhelm,1
1918,13,1
1918,New states,1
1918,Yugoslavia,1
1918,Czechoslovakia,1
1918,AustroHungarian Empire,1
1918,14,1
the next twenty years,First,1
the next twenty years,Germans,2
the next twenty years,the Treaty of Versailles,1
the next twenty years,"the War
Many",1
the next twenty years,12,1
the next twenty years,Germany,1
the next twenty years,Allied,1
the next twenty years,Kaiser Wilhelm,1
the next twenty years,13,1
the next twenty years,Europe,1
the next twenty years,New states,1
the next twenty years,Yugoslavia,1
the next twenty years,Czechoslovakia,1
the next twenty years,AustroHungarian Empire,1
the next twenty years,14,1
First,Germans,2
First,the Treaty of Versailles,1
First,"the War
Many",1
First,12,1
First,Germany,1
First,Allied,1
First,Kaiser Wilhelm,1
First,13,1
First,Europe,1
First,New states,1
First,Yugoslavia,2
First,Czechoslovakia,2
First,AustroHungarian Empire,1
First,14,1
Germans,the Treaty of Versailles,1
Germans,"the War
Many",1
Germans,Germans,8
Germans,12,2
Germans,Germany,11
Germans,Allied,4
Germans,Kaiser Wilhelm,2
Germans,13,2
Germans,Europe,4
Germans,New states,2
Germans,Yugoslavia,2
Germans,Czechoslovakia,2
Germans,AustroHungarian Empire,2
Germans,14,2
the Treaty of Versailles,"the War
Many",1
the Treaty of Versailles,Germans,1
the Treaty of Versailles,12,1
the Treaty of Versailles,Germany,1
the Treaty of Versailles,Allied,1
the Treaty of Versailles,Kaiser Wilhelm,1
the Treaty of Versailles,13,1
the Treaty of Versailles,Europe,1
the Treaty of Versailles,New states,1
the Treaty of Versailles,Yugoslavia,1
the Treaty of Versailles,Czechoslovakia,1
the Treaty of Versailles,AustroHungarian Empire,1
the Treaty of Versailles,14,1
"the War
Many",Germans,1
"the War
Many",12,1
"the War
Many",Germany,1
"the War
Many",Allied,1
"the War
Many",Kaiser Wilhelm,1
"the War
Many",13,1
"the War
Many",Europe,1
"the War
Many",New states,1
"the War
Many",Yugoslavia,1
"the War
Many",Czechoslovakia,1
"the War
Many",AustroHungarian Empire,1
"the War
Many",14,1
12,Germany,1
12,Allied,1
12,Kaiser Wilhelm,1
12,13,1
12,Europe,1
12,New states,1
12,Yugoslavia,1
12,Czechoslovakia,1
12,AustroHungarian Empire,1
12,14,1
Germany,Kaiser Wilhelm,1
Germany,13,1
Germany,Europe,3
Germany,New states,1
Germany,Yugoslavia,1
Germany,Czechoslovakia,1
Germany,AustroHungarian Empire,1
Germany,14,1
Allied,Kaiser Wilhelm,1
Allied,13,1
Allied,Europe,2
Allied,New states,1
Allied,Yugoslavia,1
Allied,Czechoslovakia,1
Allied,AustroHungarian Empire,1
Allied,14,1
Kaiser Wilhelm,13,1
Kaiser Wilhelm,Europe,1
Kaiser Wilhelm,New states,1
Kaiser Wilhelm,Yugoslavia,1
Kaiser Wilhelm,Czechoslovakia,1
Kaiser Wilhelm,AustroHungarian Empire,1
Kaiser Wilhelm,14,1
13,Europe,1
13,New states,1
13,Yugoslavia,1
13,Czechoslovakia,1
13,AustroHungarian Empire,1
13,14,1
Europe,New states,1
Europe,Yugoslavia,1
Europe,Czechoslovakia,2
Europe,AustroHungarian Empire,1
Europe,14,1
New states,Yugoslavia,1
New states,Czechoslovakia,1
New states,AustroHungarian Empire,1
New states,14,1
Yugoslavia,Czechoslovakia,2
Yugoslavia,AustroHungarian Empire,1
Yugoslavia,14,1
Czechoslovakia,AustroHungarian Empire,1
Czechoslovakia,14,1
AustroHungarian Empire,14,1
the League of Nations,15,1
the League of Nations,The Russian Revolution and Communismedit Main,1
the League of Nations,Russian Revolution,1
15,The Russian Revolution and Communismedit Main,1
15,Russian Revolution,1
The Russian Revolution and Communismedit Main,Russian Revolution,1
The Russian Revolution of 1917,Tsarist,1
The Russian Revolution of 1917,communist,1
The Russian Revolution of 1917,Europe,1
The Russian Revolution of 1917,16,1
Tsarist,communist,1
Tsarist,Europe,1
Tsarist,16,1
communist,Europe,1
communist,16,1
Europe,16,1
European,Vladimir Lenin,1
European,1924,1
European,a few years,1
European,Joseph Stalin,1
European,Leon Trotsky,1
European,the Soviet Union,2
Vladimir Lenin,1924,1
Vladimir Lenin,a few years,1
Vladimir Lenin,Joseph Stalin,1
Vladimir Lenin,Leon Trotsky,1
Vladimir Lenin,the Soviet Union,1
1924,a few years,1
1924,Joseph Stalin,1
1924,Leon Trotsky,1
1924,the Soviet Union,1
a few years,Joseph Stalin,1
a few years,Leon Trotsky,1
a few years,the Soviet Union,1
Joseph Stalin,Leon Trotsky,1
Joseph Stalin,the Soviet Union,3
Leon Trotsky,the Soviet Union,1
Stalin,one,2
Stalin,country17,1
Stalin,18,1
one,country17,1
one,18,1
country17,18,1
socialists,Stalins,1
socialists,19,1
socialists,1929,1
socialists,the Great Depression,1
socialists,first,1
socialists,Soviet,1
socialists,the 1930s,1
socialists,20,1
socialists,Dorothea Langes,1
socialists,Migrant Mother,1
socialists,the Great Depression Main article Interwar period Economic depressionedit Main,1
socialists,the 1920s,1
Stalins,19,1
Stalins,1929,1
Stalins,the Great Depression,1
Stalins,first,1
Stalins,Soviet,2
Stalins,the 1930s,1
Stalins,20,1
Stalins,Dorothea Langes,1
Stalins,Migrant Mother,1
Stalins,the Great Depression Main article Interwar period Economic depressionedit Main,1
Stalins,the 1920s,1
19,1929,1
19,the Great Depression,1
19,first,1
19,Soviet,1
19,the 1930s,1
19,20,1
19,Dorothea Langes,1
19,Migrant Mother,1
19,the Great Depression Main article Interwar period Economic depressionedit Main,1
19,the 1920s,1
1929,the Great Depression,2
1929,first,1
1929,Soviet,1
1929,the 1930s,1
1929,20,1
1929,Dorothea Langes,1
1929,Migrant Mother,1
1929,the Great Depression Main article Interwar period Economic depressionedit Main,1
1929,the 1920s,1
the Great Depression,first,1
the Great Depression,Soviet,1
the Great Depression,the 1930s,1
the Great Depression,20,1
the Great Depression,Dorothea Langes,1
the Great Depression,Migrant Mother,1
the Great Depression,the Great Depression Main article Interwar period Economic depressionedit Main,1
the Great Depression,the 1920s,1
first,Soviet,7
first,the 1930s,1
first,20,2
first,Dorothea Langes,1
first,Migrant Mother,1
first,the Great Depression Main article Interwar period Economic depressionedit Main,1
first,the 1920s,1
Soviet,the 1930s,1
Soviet,20,1
Soviet,Dorothea Langes,1
Soviet,Migrant Mother,1
Soviet,the Great Depression Main article Interwar period Economic depressionedit Main,1
Soviet,the 1920s,1
the 1930s,20,1
the 1930s,Dorothea Langes,1
the 1930s,Migrant Mother,1
the 1930s,the Great Depression Main article Interwar period Economic depressionedit Main,1
the 1930s,the 1920s,1
20,Dorothea Langes,1
20,Migrant Mother,1
20,the Great Depression Main article Interwar period Economic depressionedit Main,1
20,the 1920s,1
Dorothea Langes,Migrant Mother,1
Dorothea Langes,the Great Depression Main article Interwar period Economic depressionedit Main,1
Dorothea Langes,the 1920s,1
Migrant Mother,the Great Depression Main article Interwar period Economic depressionedit Main,1
Migrant Mother,the 1920s,1
the Great Depression Main article Interwar period Economic depressionedit Main,the 1920s,1
29,the end of the decade,1
29,21,1
the end of the decade,21,1
millions,22,1
millions,23,1
22,23,1
24,two,1
24,the century,1
24,Main,1
24,Nazi,1
24,Jewishowned,1
24,Germans,2
24,Jews,2
24,Germany,4
24,1933,2
24,first,1
24,Italy,1
24,Benito Mussolini,1
24,1922,1
24,25,1
24,26,1
24,Adolf Hitler,1
24,Nazism,1
24,German,3
24,The Nazi Party,1
24,Germanspeaking,1
24,Central and Eastern Europe,1
24,Slavic,1
24,27,1
24,Herrenvolk,1
24,Untermensch,1
24,28,1
24,Western Europe,1
24,the United States,1
24,Hitler,1
24,29,1
two,the century,2
two,Main,2
two,Nazi,1
two,Jewishowned,1
two,Germans,2
two,Jews,2
two,Germany,5
two,1933,2
two,first,10
two,Italy,1
two,Benito Mussolini,1
two,1922,1
two,25,1
two,26,1
two,Adolf Hitler,3
two,Nazism,1
two,German,5
two,The Nazi Party,1
two,Germanspeaking,1
two,Central and Eastern Europe,1
two,Slavic,1
two,27,1
two,Herrenvolk,1
two,Untermensch,1
two,28,1
two,Western Europe,2
two,the United States,2
two,Hitler,1
two,29,1
the century,Main,2
the century,Nazi,1
the century,Jewishowned,1
the century,Germans,2
the century,Jews,2
the century,Germany,4
the century,1933,2
the century,first,1
the century,Italy,1
the century,Benito Mussolini,1
the century,1922,1
the century,25,1
the century,26,1
the century,Adolf Hitler,1
the century,Nazism,1
the century,German,3
the century,The Nazi Party,1
the century,Germanspeaking,1
the century,Central and Eastern Europe,1
the century,27,1
the century,Herrenvolk,1
the century,Untermensch,1
the century,28,1
the century,Western Europe,1
the century,the United States,1
the century,Hitler,1
the century,29,1
Main,Nazi,1
Main,Jewishowned,1
Main,Germans,2
Main,Jews,2
Main,Germany,4
Main,1933,2
Main,first,4
Main,Italy,1
Main,Benito Mussolini,1
Main,1922,1
Main,25,1
Main,26,1
Main,Adolf Hitler,1
Main,Nazism,1
Main,German,3
Main,The Nazi Party,1
Main,Germanspeaking,1
Main,Central and Eastern Europe,1
Main,Slavic,1
Main,27,1
Main,Herrenvolk,1
Main,Untermensch,1
Main,28,1
Main,Western Europe,1
Main,the United States,2
Main,Hitler,1
Main,29,1
Nazi,Jewishowned,1
Nazi,Germans,3
Nazi,Jews,8
Nazi,Germany,5
Nazi,1933,2
Nazi,first,2
Nazi,Italy,1
Nazi,Benito Mussolini,1
